area_name,first_date,latest_date,first_rent,latest_rent,rent_growth_percent
Northern Ireland,2015-01-01,2026-03-01,532.0,876.0,64.66165413533834
East Midlands,2015-01-01,2026-05-01,566.0,914.0,61.48409893992933
North West,2015-01-01,2026-05-01,594.0,954.0,60.60606060606061
East of England,2015-01-01,2026-05-01,800.0,1280.0,60.0
South West,2015-01-01,2026-05-01,778.0,1234.0,58.61182519280206
West Midlands,2015-01-01,2026-05-01,615.0,966.0,57.073170731707314
Wales,2015-01-01,2026-05-01,541.0,836.0,54.5286506469501
South East,2015-01-01,2026-05-01,932.0,1418.0,52.14592274678112
United Kingdom,2015-01-01,2026-05-01,910.0,1383.0,51.978021978021985
England,2015-01-01,2026-05-01,950.0,1442.0,51.78947368421053
Scotland,2015-01-01,2026-05-01,673.0,1009.0,49.925705794947994
Yorkshire and The Humber,2015-01-01,2026-05-01,586.0,856.0,46.075085324232084
North East,2015-01-01,2026-05-01,533.0,776.0,45.590994371482175
London,2015-01-01,2026-05-01,1580.0,2294.0,45.18987341772152
